Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Trains,2012,2,4,45,12,0,8339,7.13233,6.80612,1.27238,46.10107142857142,11,Short,PreTeen,Small
The Republic of Rome,1990,1,6,300,14,0,4175,7.53038,6.80584,1.78649,147.14285714285714,33,Very Long,Teen,Large
Disney Villainous: Wicked to the Core,2019,2,3,60,10,14,4242,7.55995,6.8056,1.27565,21.784285714285716,4,Short,PreTeen,Small
Cacao,2015,2,4,45,8,0,10632,7.08243,6.80559,1.07734,57.42714285714286,8,Short,Young,Small
Creature Comforts,2022,1,5,45,8,5,4263,7.50969,6.80508,1.28147,39.125,1,Short,Young,Large
Fort,2020,2,4,40,10,0,8988,7.13639,6.80474,1.24512,20.74625,3,Short,PreTeen,Small
KeyForge: Call of the Archons,2018,2,2,45,14,14,11211,7.12601,6.80394,1.6014,27.82521739130435,5,Short,Teen,Small
Lord of the Rings: The Confrontation,2002,2,2,30,12,0,6917,7.20966,6.80365,1.38641,70.0,21,Quick,PreTeen,Small
Kingdom Builder,2011,2,4,45,8,2,22975,6.94578,6.80281,1.41992,26.86019230769231,12,Short,Young,Small
Between Two Castles of Mad King Ludwig,2018,2,7,60,10,0,6130,7.24824,6.80244,1.27439,60.26846153846154,5,Short,PreTeen,Large
Warp's Edge,2020,1,1,45,10,3,2904,7.74524,6.80161,1.16078,34.37375,3,Short,PreTeen,Individual
Shakespeare,2015,1,4,90,13,0,4330,7.42217,6.80051,1.21053,89.5,8,Moderate,Teen,Small
Project: ELITE,2020,1,6,60,14,2,2246,8.01808,6.79782,1.36154,102.16666666666667,3,Short,Teen,Large
Mr. Jack,2006,2,2,30,9,0,17706,6.9778,6.79771,1.24423,25.162051282051287,17,Quick,PreTeen,Small
Detective: City of Angels,2019,1,5,150,14,3,2444,7.90074,6.79681,1.40481,109.75,4,Long,Teen,Large
A Fake Artist Goes to New York,2011,5,10,20,8,0,7746,7.14927,6.79568,1.26827,25.99666666666667,12,Quick,Young,Massive
Telestrations: 12 Player Party Pack,2011,4,12,30,12,0,2866,7.74163,6.79567,1.38268,,12,Quick,PreTeen,Massive
Summoner Wars,2009,2,4,60,9,2,6564,7.23201,6.79521,1.56582,133.0,14,Short,PreTeen,Small
Elder Sign,2011,1,8,90,13,13,24919,6.97031,6.79484,1.39722,29.73509433962264,12,Moderate,Teen,Large
Lacrimosa,2022,1,4,90,14,1,2842,7.75577,6.79451,1.11153,43.598571428571425,1,Moderate,Teen,Small
Belfort,2011,2,5,120,12,2,6325,7.21978,6.79333,1.24272,58.10368421052632,12,Long,PreTeen,Large
Azul: Queen's Garden,2021,2,4,60,10,0,3957,7.51248,6.79256,1.35449,20.0,2,Short,PreTeen,Small
Weather Machine,2022,2,4,150,14,2,2694,7.86022,6.79219,1.61013,127.39666666666668,1,Long,Teen,Small
My Father's Work,2022,2,4,180,14,0,2510,7.92318,6.79054,1.5814,103.45,1,Long,Teen,Small
Yellow & Yangtze,2018,2,4,90,14,1,2493,7.83995,6.78807,1.28527,85.77222222222223,5,Moderate,Teen,Small
Chronicles of Crime: 1400,2020,1,4,90,12,4,3446,7.76433,6.78742,1.30132,45.49846153846154,3,Moderate,PreTeen,Small
Disney Villainous: Evil Comes Prepared,2019,2,3,60,10,13,3970,7.56647,6.78737,1.26554,21.997999999999998,4,Short,PreTeen,Small
Cuba,2007,2,5,120,10,0,8277,7.12938,6.78695,1.25068,72.74833333333333,16,Long,PreTeen,Large
Cribbage,1630,2,6,30,10,0,9805,7.08774,6.78654,1.58236,16.427142857142858,393,Quick,PreTeen,Large
Torres,1999,2,4,60,10,0,9581,7.09414,6.7859,1.28536,28.685238095238095,24,Short,PreTeen,Small
Merv: The Heart of the Silk Road,2020,1,4,90,14,3,3564,7.5386,6.78464,1.2089,31.641428571428573,3,Moderate,Teen,Small
Golem,2021,1,4,120,14,3,3297,7.61015,6.78457,1.31522,41.875,2,Long,Teen,Small
Earth Reborn,2010,2,4,180,13,0,3357,7.62276,6.78423,1.6453,53.715,13,Long,Teen,Small
Escape: The Curse of the Temple,2012,1,5,10,8,2,16786,6.96521,6.78382,1.40892,57.855714285714285,11,Quick,Young,Large
Civilization: A New Dawn,2017,2,4,120,14,5,6517,7.26127,6.78378,1.30554,40.14142857142857,6,Long,Teen,Small
The Oracle of Delphi,2016,2,4,100,12,1,5070,7.2983,6.78337,1.27249,82.0,7,Long,PreTeen,Small
Trails of Tucana,2019,1,8,15,8,0,4185,7.40615,6.78239,1.08851,,4,Quick,Young,Large
Luna,2010,1,4,100,12,2,5010,7.30201,6.78188,1.29891,64.68263157894737,13,Long,PreTeen,Small
The Magnificent,2019,1,4,90,14,0,3507,7.54299,6.78169,1.1553,36.713750000000005,4,Moderate,Teen,Small
Dixit: Journey,2012,3,6,30,8,3,4537,7.39611,6.78141,1.32831,21.0,11,Quick,Young,Large
Sea Salt & Paper,2022,2,4,45,8,0,4389,7.43024,6.78054,1.34629,19.983333333333334,1,Short,Young,Small
Churchill,2015,1,3,300,14,0,2990,7.66908,6.77972,1.45832,61.90772727272727,8,Very Long,Teen,Small
Mexica,2002,2,4,90,10,0,5780,7.24852,6.77908,1.17103,66.49875,21,Moderate,PreTeen,Small
Treasure Island,2018,2,5,45,10,0,6032,7.24081,6.77889,1.27819,36.408181818181816,5,Short,PreTeen,Large
Feudum,2018,2,5,180,12,7,3660,7.61023,6.77858,1.76901,95.71380952380953,5,Long,PreTeen,Large
AuZtralia,2018,1,4,120,13,1,4615,7.36611,6.77844,1.31231,37.785000000000004,5,Long,Teen,Small
Expeditions,2023,1,5,90,14,5,2824,7.80522,6.77805,1.42957,82.4575,0,Moderate,Teen,Large
Shadows of Brimstone: Swamps of Death,2014,1,4,180,12,35,2415,8.03961,6.77803,1.62004,87.5,9,Long,PreTeen,Small
D-Day at Omaha Beach,2009,1,2,480,12,1,1835,8.29813,6.77715,1.35755,66.995,14,Marathon,PreTeen,Small
Yamataï,2017,2,4,80,13,0,6518,7.19476,6.77627,1.28949,89.71285714285715,6,Moderate,Teen,Small
Exit: The Game – The Pharaoh's Tomb,2016,1,6,90,12,1,6449,7.16798,6.77608,1.50342,8.831666666666667,7,Moderate,PreTeen,Large
Myrmes,2012,2,4,120,13,0,5508,7.26233,6.77404,1.29609,47.8,11,Long,Teen,Small
Smash Up: Awesome Level 9000,2013,2,2,45,12,1,7005,7.22167,6.77349,1.35119,18.998,10,Short,PreTeen,Small
Ascension: Deckbuilding Game,2010,1,4,30,13,6,13289,7.03425,6.77348,1.39403,30.1148,13,Quick,Teen,Small
Tokaido,2012,2,5,45,8,3,25257,6.93581,6.77117,1.36794,33.066,11,Short,Young,Large
Ready Set Bet,2022,2,9,60,14,0,2991,7.64451,6.7705,1.30925,29.4,1,Short,Teen,Massive
Prêt-à-Porter,2010,2,4,90,10,0,4708,7.33601,6.77036,1.3278,54.27227272727273,13,Moderate,PreTeen,Small
Leaving Earth,2015,1,5,180,15,1,2819,7.74929,6.76873,1.54341,90.495,8,Long,Teen,Large
Massive Darkness 2: Hellscape,2022,1,6,60,14,10,2266,8.09248,6.76782,1.55089,256.42857142857144,1,Short,Teen,Large
Sub Terra,2017,1,6,60,10,8,5018,7.38475,6.76775,1.41141,143.16666666666666,6,Short,PreTeen,Large
Fury of Dracula (Second Edition),2005,2,5,180,10,0,9258,7.09686,6.76759,1.44523,72.54454545454546,18,Long,PreTeen,Large
Defenders of the Realm,2010,1,4,90,13,2,5458,7.28027,6.76746,1.41169,119.30666666666667,13,Moderate,Teen,Small
Tash-Kalar: Arena of Legends,2013,2,4,60,13,3,6999,7.16532,6.76655,1.52787,32.496875,10,Short,Teen,Small
Wir sind das Volk!,2014,2,2,150,12,0,2496,7.79976,6.76645,1.29984,60.0,9,Long,PreTeen,Small
Century: A New World,2019,2,4,45,8,1,4728,7.34051,6.76626,1.11351,22.359166666666667,4,Short,Young,Small
Arkwright,2014,2,4,240,12,3,2458,7.80303,6.76602,1.49897,91.55444444444444,9,Very Long,PreTeen,Small
Whistle Mountain,2020,2,4,90,14,0,3031,7.61403,6.76537,1.24731,33.99923076923077,3,Moderate,Teen,Small
Trismegistus: The Ultimate Formula,2019,1,4,120,14,0,3377,7.59912,6.76452,1.50338,39.99875,4,Long,Teen,Small
Love Letter: Batman,2015,2,4,20,10,0,5590,7.26663,6.76443,1.30334,76.4375,8,Quick,PreTeen,Small
ZhanGuo,2014,2,4,120,12,0,3193,7.56373,6.76415,1.27344,69.55,9,Long,PreTeen,Small
Carcassonne: The Castle,2003,2,2,30,8,1,8217,7.1036,6.76324,1.27228,48.86272727272728,20,Quick,Young,Small
Bloodborne: The Board Game,2021,1,4,75,14,2,3201,7.80898,6.76258,1.65303,270.1361111111111,2,Moderate,Teen,Small
Specter Ops,2015,2,5,120,9,0,6346,7.18473,6.7622,1.27269,32.93266666666667,8,Long,PreTeen,Large
Onirim (Second Edition),2014,1,2,15,10,0,10120,7.05037,6.7622,1.34743,23.7,9,Quick,PreTeen,Small
Oh My Goods!,2015,2,4,30,10,0,12380,6.99892,6.76209,1.1963,21.666666666666668,8,Quick,PreTeen,Small
Space Hulk: Death Angel – The Card Game,2010,1,6,60,13,0,13256,7.00378,6.75891,1.37961,100.12375,13,Short,Teen,Large
Unmatched: Jurassic Park – InGen vs Raptors,2020,2,2,40,14,7,1997,8.13628,6.75817,1.16626,25.25,3,Short,Teen,Small
City of the Big Shoulders,2019,2,4,180,14,0,2552,7.77638,6.75804,1.52162,,4,Long,Teen,Small
Ashes Reborn: Rise of the Phoenixborn,2015,2,4,120,14,45,5945,7.28946,6.75794,1.47119,41.21608695652174,8,Long,Teen,Small
Dragon Castle,2017,1,4,45,8,2,7531,7.13019,6.75756,1.177,27.498333333333335,6,Short,Young,Small
My Little Scythe,2017,1,6,60,8,1,5531,7.2582,6.75528,1.30864,46.17727272727273,6,Short,Young,Large
Steampunk Rally,2015,2,8,60,14,0,6687,7.16846,6.75514,1.30723,24.303478260869564,8,Short,Teen,Large
Living Forest,2021,1,4,40,10,1,5137,7.29407,6.75473,1.22188,36.5,2,Short,PreTeen,Small
The Estates,2018,2,5,60,10,1,3736,7.42446,6.75463,1.40005,,5,Short,PreTeen,Large
Unlock!: Timeless Adventures,2019,1,6,90,10,1,2399,7.79844,6.75403,1.17973,15.0,4,Moderate,PreTeen,Large
BANG! The Dice Game,2013,3,8,15,8,3,23811,6.90296,6.75379,1.31625,13.623684210526317,10,Quick,Young,Large
Villagers,2019,1,5,60,10,3,7099,7.1698,6.75241,1.24709,32.726,4,Short,PreTeen,Large
The Networks,2016,1,5,90,13,1,6381,7.15937,6.7518,1.18755,50.75,7,Moderate,Teen,Large
Warhammer Quest: The Adventure Card Game,2015,1,4,60,14,0,5415,7.31765,6.75129,1.30747,26.391304347826086,8,Short,Teen,Small
"Unmatched: Battle of Legends, Volume Two",2021,2,4,40,9,10,1742,8.33402,6.75102,1.16195,36.16166666666667,2,Short,PreTeen,Small
Vegas Showdown,2005,3,5,75,12,1,6330,7.156,6.74994,1.16614,21.437647058823533,18,Moderate,PreTeen,Large
Thunderstone Advance: Towers of Ruin,2012,1,5,45,12,0,4731,7.33148,6.74906,1.41295,90.31208333333332,11,Short,PreTeen,Large
Marrakesh,2022,2,4,120,14,3,1801,8.18557,6.74869,1.23455,178.798,1,Long,Teen,Small
K2,2010,1,5,60,8,0,10368,7.01545,6.74791,1.24833,56.22764705882353,13,Short,Young,Large
The Bloody Inn,2015,1,4,60,14,0,9046,7.05784,6.74788,1.23633,34.666666666666664,8,Short,Teen,Small
Diplomacy,1959,2,7,360,12,1,13122,7.03879,6.74738,1.9187,28.446385542168677,64,Marathon,PreTeen,Large
Century: Eastern Wonders,2018,2,4,45,8,3,7238,7.12982,6.74738,1.13691,26.647368421052633,5,Short,Young,Small
Bullet♥︎,2021,1,4,20,13,1,2897,7.65731,6.74656,1.30787,73.75,2,Quick,Teen,Small
The Adventures of Robin Hood,2021,2,4,60,10,0,3425,7.53449,6.74649,1.31312,26.997500000000002,2,Short,PreTeen,Small
Advanced Squad Leader: Starter Kit #1,2004,2,2,120,13,0,2640,7.84268,6.74506,1.63553,41.99555555555556,19,Long,Teen,Small
Mosaic: A Story of Civilization,2022,2,6,120,12,2,3042,7.6192,6.74471,1.50923,120.52333333333333,1,Long,PreTeen,Large
Wits & Wagers,2005,3,7,25,10,3,15010,6.92545,6.74391,1.27982,13.288235294117648,18,Quick,PreTeen,Large
Railroad Ink Challenge: Lush Green Edition,2021,1,4,30,8,2,2711,7.67226,6.74362,1.1363,41.7475,2,Quick,Young,Small
Yspahan,2006,2,4,60,8,1,8085,7.06686,6.7433,1.19132,25.77777777777778,17,Short,Young,Small
Ticket to Ride: Rails & Sails,2016,2,5,120,10,0,4311,7.43019,6.74309,1.4191,59.55111111111111,7,Long,PreTeen,Large
The Shipwreck Arcana,2017,2,5,30,12,0,3484,7.46912,6.74293,1.32442,31.665000000000003,6,Quick,PreTeen,Large
Coal Baron,2013,2,4,75,10,0,4766,7.28888,6.74275,1.1225,45.0,10,Moderate,PreTeen,Small
Trekking Through History,2022,2,4,60,10,0,2588,7.73256,6.74271,1.07903,44.56142857142857,1,Short,PreTeen,Small
Between Two Cities,2015,1,7,25,14,6,10954,6.9881,6.74185,1.20967,32.05263157894737,8,Quick,Teen,Large
Crystal Palace,2019,2,5,150,14,1,3226,7.53273,6.74139,1.26409,43.66166666666666,4,Long,Teen,Large
Wallenstein,2002,3,5,150,12,1,3618,7.45982,6.74097,1.44876,50.23111111111112,21,Long,PreTeen,Large
Brian Boru: High King of Ireland,2021,3,5,90,14,0,3137,7.54237,6.74051,1.16149,25.0,2,Moderate,Teen,Large
New York Zoo,2020,1,5,60,10,2,7146,7.11593,6.74039,1.15685,26.416842105263157,3,Short,PreTeen,Large
CO₂: Second Chance,2018,1,4,120,12,2,3269,7.54761,6.74027,1.47627,56.75,5,Long,PreTeen,Small
Disney Villainous,2018,2,6,120,10,16,18817,6.97995,6.73962,1.44614,31.842,5,Long,PreTeen,Large
Can't Stop,1980,2,4,30,9,1,17507,6.8995,6.7384,1.31804,33.357142857142854,43,Quick,PreTeen,Small
Middle-Earth Quest,2009,2,4,180,13,0,4172,7.38711,6.73835,1.43443,73.5,14,Long,Teen,Small
Shipyard,2009,2,4,120,11,1,4021,7.35494,6.73812,1.31529,53.99272727272727,14,Long,PreTeen,Small
Empire of the Sun,2005,1,2,360,12,2,1913,8.26993,6.73774,1.56336,62.041739130434784,18,Marathon,PreTeen,Small
Dorfromantik: The Board Game,2022,1,6,60,8,2,2807,7.70085,6.73647,1.39768,43.5,1,Short,Young,Large
Eminent Domain,2011,2,4,45,10,1,10372,6.98893,6.73517,1.34078,28.42886363636364,12,Short,PreTeen,Small
New Frontiers,2018,2,5,75,14,1,3592,7.42962,6.73448,1.21334,37.16583333333333,5,Moderate,Teen,Large
Blue Moon City,2006,2,4,50,14,0,8488,7.04235,6.73301,1.20518,32.761428571428574,17,Short,Teen,Small
Menara,2018,1,4,60,8,0,3500,7.45125,6.73252,1.14894,43.198,5,Short,Young,Small
Reef,2018,2,4,45,8,2,9268,7.02319,6.73138,1.17146,23.62125,5,Short,Young,Small
Rhino Hero: Super Battle,2017,2,4,20,5,0,5101,7.24273,6.73049,1.22477,34.99,6,Quick,Any,Small
Three Sisters,2022,1,4,60,14,1,2927,7.60925,6.73047,1.14253,24.2,1,Short,Teen,Small
Skymines,2022,1,4,150,12,1,1844,8.12342,6.72726,1.19771,46.32666666666666,1,Long,PreTeen,Small
Caverna: Cave vs Cave,2017,1,2,40,10,0,6593,7.11532,6.72651,1.1438,22.66466666666667,6,Short,PreTeen,Small
Kanagawa,2016,2,4,45,10,2,8770,7.04129,6.72635,1.14601,17.495333333333335,7,Short,PreTeen,Small
Saint Petersburg (Second Edition),2014,2,5,60,13,0,3328,7.47141,6.72628,1.29307,232.5,9,Short,Teen,Large
Dogs of War,2014,3,5,75,14,0,3199,7.52066,6.7262,1.27227,174.995,9,Moderate,Teen,Large
Ex Libris,2017,1,4,45,10,2,6366,7.14714,6.72584,1.24872,54.8,6,Short,PreTeen,Small
Feed the Kraken,2022,5,11,90,12,1,2432,7.89692,6.72516,1.47858,84.975,1,Moderate,PreTeen,Massive
Warhammer: Invasion,2009,2,2,45,13,1,6002,7.23717,6.72511,1.47887,86.6846153846154,14,Short,Teen,Small
Twilight Inscription,2022,1,8,120,14,1,3192,7.55049,6.72507,1.35331,38.77777777777778,1,Long,Teen,Large
Deep Sea Adventure,2014,2,6,30,8,0,15715,6.91911,6.72477,1.29505,18.490833333333335,9,Quick,Young,Large
Empires: Age of Discovery,2015,2,6,150,10,1,2215,7.84012,6.72418,1.38744,119.699,8,Long,PreTeen,Large
Messina 1347,2021,1,4,140,14,1,2778,7.62328,6.7224,1.13808,36.14,2,Long,Teen,Small
World Without End,2009,2,4,120,12,0,4993,7.23799,6.72124,1.24345,38.1,14,Long,PreTeen,Small
Blokus,2000,2,4,20,7,0,26572,6.85944,6.72103,1.25642,14.96315789473684,23,Quick,Young,Small
Cry Havoc,2016,2,4,120,10,1,6779,7.136,6.72085,1.42171,34.159,7,Long,PreTeen,Small
Space Hulk,1989,2,2,45,12,0,3831,7.47935,6.7203,1.60682,200.0,34,Short,PreTeen,Small
The White Castle,2023,1,4,80,12,1,2113,8.00929,6.71777,1.19679,42.0,0,Moderate,PreTeen,Small
Crown of Emara,2018,1,4,75,12,0,3620,7.4049,6.71742,1.08703,43.0,5,Moderate,PreTeen,Small
Super Motherload,2015,2,4,75,13,0,3942,7.34992,6.7154,1.12775,33.299,8,Moderate,Teen,Small
Finca,2009,2,4,45,10,1,7315,7.06751,6.71535,1.1704,104.4975,14,Short,PreTeen,Small
The Pursuit of Happiness,2015,1,4,90,12,1,5359,7.18118,6.71495,1.29116,24.264615384615386,8,Moderate,PreTeen,Small
Babylonia,2019,2,4,60,14,0,2492,7.67989,6.71489,1.21392,42.330000000000005,4,Short,Teen,Small
878 Vikings: Invasions of England,2017,2,4,120,12,6,3333,7.50363,6.71487,1.30177,77.0,6,Long,PreTeen,Small
Paris: La Cité de la Lumière,2019,2,2,30,8,1,4437,7.32085,6.71418,1.14104,26.633333333333336,4,Quick,Young,Small
Up Front,1983,2,2,60,12,0,2264,7.88241,6.71353,1.7344,118.07692307692308,40,Short,PreTeen,Small
Railroad Ink: Blazing Red Edition,2018,1,6,30,8,2,6696,7.10169,6.71288,1.16917,16.0,5,Quick,Young,Large
7 Wonders: Architects,2021,2,7,25,8,1,8668,7.03896,6.71241,1.46661,38.8725,2,Quick,Young,Large
Perudo,1800,2,6,30,8,0,14722,6.90793,6.71231,1.40571,20.337894736842106,223,Quick,Young,Large
First Rat,2022,1,5,75,10,0,2660,7.63735,6.7118,1.02216,,1,Moderate,PreTeen,Large
Verdant,2022,1,5,60,10,2,3747,7.41193,6.71052,1.13584,30.704705882352943,1,Short,PreTeen,Large
Vast: The Crystal Caverns,2016,1,5,150,10,4,6838,7.12144,6.71026,1.48357,65.6495,7,Long,PreTeen,Large
Arcadia Quest: Inferno,2017,2,4,120,13,5,2316,7.89927,6.71021,1.39488,150.09148148148145,6,Long,Teen,Small
Dominant Species: Marine,2021,2,4,150,14,3,1929,7.97945,6.70978,1.38583,53.347,2,Long,Teen,Small
Exit: The Game – The Secret Lab,2016,1,6,150,12,1,6824,7.06729,6.70912,1.3719,11.984,7,Long,PreTeen,Large
Ricochet Robots,1999,1,99,30,10,0,8970,7.02305,6.70831,1.65449,,24,Quick,PreTeen,Massive
Zombicide Season 2: Prison Outbreak,2013,1,6,60,13,7,4687,7.35725,6.70819,1.50268,77.52499999999999,10,Short,Teen,Large
Panamax,2014,2,4,120,12,0,3995,7.30956,6.70811,1.31967,44.995000000000005,9,Long,PreTeen,Small
Next Station: London,2022,1,4,30,8,0,3222,7.47735,6.70804,1.11398,18.99,1,Quick,Young,Small
The Duke,2013,2,2,30,13,0,4137,7.32869,6.70785,1.3161,31.75,10,Quick,Teen,Small
Dice Hospital,2018,1,4,90,10,1,6071,7.13777,6.7078,1.23348,42.66166666666667,5,Moderate,PreTeen,Small
Black Angel,2019,1,4,120,12,3,4668,7.25826,6.70713,1.42726,45.0992,4,Long,PreTeen,Small
"Heroes of Land, Air & Sea",2018,1,4,180,14,1,3025,7.60271,6.70527,1.53647,188.0,5,Long,Teen,Small
Unfair,2017,2,5,125,14,5,4853,7.33534,6.70523,1.56583,42.5,6,Long,Teen,Large
Great Western Trail: New Zealand,2023,1,4,150,12,0,1232,8.71376,6.70471,1.10776,54.5,0,Long,PreTeen,Small
Maquis,2013,1,1,30,14,0,3418,7.45016,6.70437,1.21456,29.995454545454546,10,Quick,Teen,Individual
1989: Dawn of Freedom,2012,2,2,150,12,0,2290,7.78101,6.70255,1.38378,47.73,11,Long,PreTeen,Small
King of New York,2014,2,6,40,10,58,16245,6.89404,6.70133,1.29198,23.676774193548386,9,Short,PreTeen,Large
FUSE,2015,1,5,10,10,1,8540,7.00713,6.70095,1.23843,15.022380952380953,8,Quick,PreTeen,Large
Squad Leader,1977,2,2,60,14,0,3406,7.54433,6.70013,1.5797,90.42105263157895,46,Short,Teen,Small
Witchstone,2021,2,4,90,12,0,2778,7.59043,6.6992,1.09312,28.163333333333338,2,Moderate,PreTeen,Small
Cerebria: The Inside World,2018,1,4,120,14,1,2526,7.76865,6.69787,1.5831,63.63181818181818,5,Long,Teen,Small
Tang Garden,2019,1,4,60,14,3,3894,7.38762,6.69755,1.38721,77.47,4,Short,Teen,Small
Dungeons & Dragons: The Legend of Drizzt Board Game,2011,1,5,60,12,1,6310,7.21211,6.69722,1.3775,49.73368421052632,12,Short,PreTeen,Large
Disney Villainous: Perfectly Wretched,2020,2,3,60,10,13,2941,7.65989,6.69618,1.23348,19.994999999999997,3,Short,PreTeen,Small
Gentes,2017,1,4,90,12,0,3406,7.40655,6.69544,1.14736,40.944,6,Moderate,PreTeen,Small
Among the Stars,2012,2,4,30,12,11,7159,7.03557,6.69515,1.21918,39.447741935483876,11,Quick,PreTeen,Small
Incan Gold,2005,3,8,30,8,1,20660,6.82911,6.69476,1.21667,39.714285714285715,18,Quick,Young,Large
Raccoon Tycoon,2018,2,5,90,8,1,4246,7.29932,6.69461,1.30297,38.17727272727273,5,Moderate,Young,Large
Outlive,2017,2,4,110,14,0,4486,7.30239,6.694,1.3136,152.5,6,Long,Teen,Small
Red7,2014,2,4,30,9,0,15545,6.87209,6.69346,1.31683,7.1414285714285715,9,Quick,PreTeen,Small
Jambo,2004,2,2,45,12,0,8271,6.99339,6.69274,1.23796,79.10444444444445,19,Short,PreTeen,Small
Dale of Merchants,2015,2,4,30,10,3,5401,7.18402,6.6923,1.24893,75.33333333333333,8,Quick,PreTeen,Small
Blue Lagoon,2018,2,4,45,8,0,4763,7.20002,6.69176,1.13116,20.99857142857143,5,Short,Young,Small
Tumblin' Dice,2004,1,6,45,7,1,4502,7.22465,6.69163,1.38582,100.0,19,Short,Young,Large
Not Alone,2016,2,7,45,10,0,10492,6.9737,6.69143,1.29557,24.714285714285715,7,Short,PreTeen,Large
Wizard,1984,3,6,45,10,2,10982,6.95928,6.69134,1.40812,9.209999999999999,39,Short,PreTeen,Large
Tammany Hall,2007,3,5,90,12,0,4160,7.2802,6.68928,1.39427,35.766400000000004,16,Moderate,PreTeen,Large
Fugitive,2017,2,2,20,10,0,5164,7.16223,6.68872,1.12853,31.4975,6,Quick,PreTeen,Small
Hannibal & Hamilcar,2018,2,2,200,12,5,1650,8.31212,6.6886,1.41905,85.49666666666667,5,Very Long,PreTeen,Small
Khôra: Rise of an Empire,2021,2,4,75,14,1,3310,7.44592,6.68853,1.19406,29.580833333333334,2,Moderate,Teen,Small
Merchants Cove,2021,1,4,90,14,4,3161,7.51046,6.6881,1.44866,116.55555555555556,2,Moderate,Teen,Small
Lords of Xidit,2014,3,5,90,14,1,6116,7.08897,6.6873,1.28028,33.74875,9,Moderate,Teen,Large
Celestia,2015,2,6,30,8,2,10986,6.94598,6.68689,1.21901,56.333333333333336,8,Quick,Young,Large
Detective Club,2018,4,8,45,8,0,3723,7.372,6.68669,1.26167,,5,Short,Young,Large
Tribune: Primus Inter Pares,2007,2,5,120,12,0,4632,7.21164,6.68608,1.18895,76.77777777777777,16,Long,PreTeen,Large
Santiago,2003,3,5,75,10,0,5273,7.14052,6.6859,1.24265,56.0,20,Moderate,PreTeen,Large
SpaceCorp: 2025-2300AD,2018,1,4,240,12,0,2547,7.67961,6.68583,1.38494,52.42785714285714,5,Very Long,PreTeen,Small
Circadians: First Light,2019,1,4,90,12,1,2739,7.58729,6.68553,1.17383,42.44444444444444,4,Moderate,PreTeen,Small
Pandemic: Rising Tide,2017,2,5,45,8,1,2783,7.5672,6.68534,1.23174,36.666666666666664,6,Short,Young,Large
Letter Jam,2019,2,6,45,10,0,4516,7.20648,6.68361,1.39007,13.0,4,Short,PreTeen,Large
A War of Whispers,2019,2,4,60,14,1,3792,7.34127,6.683,1.31433,57.6,4,Short,Teen,Small
Yedo,2012,2,5,180,14,0,3776,7.36126,6.68266,1.49996,56.91583333333333,11,Long,Teen,Large
Star Trek: Fleet Captains,2011,2,4,120,14,0,3310,7.47299,6.68253,1.52585,72.1,12,Long,Teen,Small
One Deck Dungeon,2016,1,2,30,14,2,10939,6.96659,6.68198,1.31701,18.045,7,Quick,Teen,Small
ZÈRTZ,1999,2,2,60,9,0,4280,7.26698,6.68118,1.37123,27.766923076923078,24,Short,PreTeen,Small
Reef Encounter,2004,2,4,120,10,0,5158,7.13981,6.68107,1.41517,86.81181818181818,19,Long,PreTeen,Small
XCOM: The Board Game,2015,1,4,120,14,2,8918,7.00118,6.68048,1.50241,53.31578947368421,8,Long,Teen,Small
Combat Commander: Pacific,2008,2,2,180,12,0,1691,8.10881,6.67922,1.64495,96.3875,15,Long,PreTeen,Small
Vasco da Gama,2009,2,4,120,12,0,4515,7.21299,6.678,1.32431,47.5,14,Long,PreTeen,Small
"13 Days: The Cuban Missile Crisis, 1962",2016,2,2,45,10,0,4434,7.22789,6.67774,1.18958,42.142857142857146,7,Short,PreTeen,Small
Last Bastion,2019,1,4,45,14,1,3179,7.49766,6.67696,1.2677,18.0,4,Short,Teen,Small
Morels,2012,2,2,30,10,1,8953,6.9859,6.67679,1.23711,40.142857142857146,11,Quick,PreTeen,Small
High Frontier 4 All,2020,1,5,240,14,2,1509,8.42605,6.6763,1.72065,107.5,3,Very Long,Teen,Large
Scoville,2014,2,6,90,13,1,5337,7.12608,6.67544,1.25104,71.83166666666666,9,Moderate,Teen,Large
Star Wars: The Clone Wars,2022,1,5,60,14,1,2702,7.64445,6.67538,1.1405,39.586470588235294,1,Short,Teen,Large
Washington's War,2010,2,2,90,0,0,2563,7.60794,6.67441,1.38958,44.08166666666667,13,Moderate,,Small
Rurik: Dawn of Kiev,2019,1,4,120,13,4,2338,7.76871,6.67378,1.27243,107.5,4,Long,Teen,Small
Star Wars: The Card Game,2012,2,2,60,10,0,5739,7.17268,6.67366,1.56294,177.0,11,Short,PreTeen,Small
Friedrich,2004,3,4,210,12,0,2802,7.5579,6.67308,1.54257,49.352380952380955,19,Very Long,PreTeen,Small
Clinic: Deluxe Edition,2019,1,4,150,14,0,2488,7.64815,6.67264,1.32185,75.12208333333334,4,Long,Teen,Small
The Lost Expedition,2017,1,5,50,14,2,6891,7.059,6.67213,1.19628,22.11111111111111,6,Short,Teen,Large
Unmatched Game System,2019,2,4,40,9,11,1589,8.26971,6.6703,1.4351,51.6175,4,Short,PreTeen,Small
