Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Power Grid Deluxe: Europe/North America,2014,2,6,120,12,2,4352,7.95304,7.16567,1.27733,80.0,9,Long,PreTeen,Large
Monikers,2015,4,16,60,17,0,5690,7.7789,7.16549,1.46552,19.75,8,Short,Adult,Massive
Dice Throne: Season Two – Battle Chest,2018,2,6,40,8,13,4242,8.08366,7.16427,1.36424,218.0,5,Short,Young,Large
Cthulhu Wars,2015,2,4,120,14,18,5859,7.8621,7.16423,1.62381,370.57,8,Long,Teen,Small
Dungeon Petz,2011,2,4,90,13,3,14616,7.40899,7.16369,1.37479,32.570952380952384,12,Moderate,Teen,Small
Age of Empires III: The Age of Discovery,2007,2,5,120,10,0,10212,7.51403,7.15859,1.36679,64.2688888888889,16,Long,PreTeen,Large
Return to Dark Tower,2022,1,4,120,10,9,3491,8.29675,7.1583,1.47324,257.341875,1,Long,PreTeen,Small
Telestrations,2009,4,8,30,12,0,17265,7.38436,7.15706,1.38343,21.33,14,Quick,PreTeen,Large
Space Alert,2008,1,5,30,12,2,15907,7.39778,7.15587,1.5745,30.83375,15,Quick,PreTeen,Large
Onitama,2014,2,2,20,10,1,21248,7.35541,7.15578,1.24055,23.726363636363637,9,Quick,PreTeen,Small
Nemo's War (Second Edition),2017,1,4,120,13,1,5079,7.85591,7.15336,1.34725,52.92325000000001,6,Long,Teen,Small
Oath: Chronicles of Empire & Exile,2021,1,6,150,10,6,6309,7.82235,7.15283,1.79436,95.09612903225806,2,Long,PreTeen,Large
Bitoku,2021,1,4,120,12,4,5127,7.86379,7.15,1.33159,58.895,2,Long,PreTeen,Small
Imperial Settlers,2014,1,4,90,10,24,24009,7.32708,7.14985,1.30611,37.13964705882353,9,Moderate,PreTeen,Small
Fury of Dracula (Third/Fourth Edition),2015,2,5,180,14,0,14236,7.4376,7.14913,1.43951,105.666,8,Long,Teen,Large
Glass Road,2013,1,4,80,13,3,11240,7.45012,7.14717,1.21042,44.69954545454546,10,Moderate,Teen,Small
Kemet: Blood and Sand,2021,2,5,120,13,6,4083,8.01116,7.14353,1.30929,99.16466666666666,2,Long,Teen,Large
Summoner Wars: Master Set,2011,2,4,60,9,2,10953,7.4843,7.1418,1.48286,92.77807692307692,12,Short,PreTeen,Small
Imperial 2030,2009,2,6,180,12,0,6680,7.65303,7.14052,1.47543,76.66444444444444,14,Long,PreTeen,Large
The King's Dilemma,2019,3,5,60,14,2,5402,7.79769,7.13899,1.6379,57.855714285714285,4,Short,Teen,Large
Aeon's End: The New Age,2019,1,4,60,14,3,2504,8.54895,7.13896,1.20956,91.5,4,Short,Teen,Small
Arkham Horror (Third Edition),2018,1,6,180,14,19,8709,7.69576,7.13546,1.54034,53.92192307692308,5,Long,Teen,Large
Runewars,2010,2,4,240,14,0,8306,7.61368,7.13537,1.51987,161.3286666666667,13,Very Long,Teen,Small
Alien Frontiers,2010,2,4,90,13,9,15103,7.36534,7.13367,1.31701,53.68833333333333,13,Moderate,Teen,Small
Century: Spice Road,2017,2,5,45,8,2,24500,7.31318,7.13324,1.22714,30.717692307692307,6,Short,Young,Large
Heaven & Ale,2017,2,4,90,12,1,8329,7.54546,7.13288,1.17358,72.9975,6,Moderate,PreTeen,Small
Tikal,1999,2,4,90,10,1,19821,7.32856,7.13258,1.19247,29.14071428571429,24,Moderate,PreTeen,Small
Survive: Escape from Atlantis!,1982,2,4,60,8,0,25250,7.3149,7.13183,1.19921,29.532666666666668,41,Short,Young,Small
Mind MGMT: The Psychic Espionage “Game.”,2021,1,5,75,13,1,4116,7.99587,7.13171,1.28225,81.08542857142857,2,Moderate,Teen,Large
Bruges,2013,2,4,60,13,1,11513,7.42432,7.12944,1.27519,101.66666666666667,10,Short,Teen,Small
Love Letter,2012,2,4,20,10,3,65866,7.22438,7.12833,1.34765,25.283809523809527,11,Quick,PreTeen,Small
Tiny Epic Galaxies,2015,1,5,45,14,5,19947,7.34114,7.12783,1.20415,23.41857142857143,8,Short,Teen,Large
For Sale,1997,3,6,30,10,1,29755,7.24872,7.12675,1.15588,32.712857142857146,26,Quick,PreTeen,Large
Exit: The Game – The Abandoned Cabin,2016,1,6,120,12,1,11119,7.43633,7.12614,1.32877,11.14,7,Long,PreTeen,Large
Lost Cities,1999,2,2,30,10,1,44922,7.22723,7.12569,1.26742,16.77344827586207,24,Quick,PreTeen,Small
Antiquity,2004,2,4,180,14,3,4382,7.85708,7.12535,1.52556,185.24333333333334,19,Long,Teen,Small
Acquire,1963,2,6,90,12,1,19966,7.3366,7.12365,1.33732,91.34702702702702,60,Moderate,PreTeen,Large
Bunny Kingdom,2017,2,4,60,12,2,11996,7.43462,7.12328,1.23978,40.66555555555556,6,Short,PreTeen,Small
Destinies,2021,1,3,150,14,6,7538,7.76462,7.12193,1.52354,50.03178571428571,2,Long,Teen,Small
Burgle Bros.,2015,1,4,90,12,4,11064,7.44867,7.12188,1.19487,42.5,8,Moderate,PreTeen,Small
The Great Zimbabwe,2012,2,5,150,14,0,4580,7.82828,7.11984,1.49576,112.66444444444444,11,Long,Teen,Large
Awkward Guests: The Walton Case,2016,1,8,75,12,1,7641,7.59214,7.11974,1.3044,40.0,7,Moderate,PreTeen,Large
Dead of Winter: The Long Night,2016,2,5,120,14,10,9688,7.54098,7.11741,1.39184,33.280625,7,Long,Teen,Large
